fclass,name,type,management,xlong,ylat
building,,house,ABC Housing ltd,646296.9747,6118000.232
building,,house,ABC Housing ltd,647273.962,6113205.665
building,,house,ABC Housing ltd,646335.2655,6118078.926
building,,apartments,ABC Housing ltd,649916.3365,6112215.053
building,,semidetached_house,ABC Housing ltd,647626.2047,6109941.467
building,,semidetached_house,ABC Housing ltd,647528.1687,6111484.526
building,,house,ABC Housing ltd,647331.4042,6113078.248
building,,house,ABC Housing ltd,649679.6416,6119241.8
building,,house,ABC Housing ltd,646413.5029,6118013.295
building,,house,ABC Housing ltd,648760.1163,6111462.438
building,,house,ABC Housing ltd,648107.5607,6110881.585
building,,house,ABC Housing ltd,649623.0366,6112903.52
building,,house,ABC Housing ltd,648763.431,6111445.659
building,,semidetached_house,ABC Housing ltd,645947.5114,6116331.035
building,,semidetached_house,ABC Housing ltd,650323.687,6110346.198
building,,house,ABC Housing ltd,656282.449,6121916.039
building,,semidetached_house,ABC Housing ltd,645902.9084,6116368.506
building,,house,ABC Housing ltd,650231.6026,6110092.872
building,,house,ABC Housing ltd,647050.7955,6113007.111
building,,house,ABC Housing ltd,649620.6928,6118368.284
building,,terrace,ABC Housing ltd,649167.2842,6113737.56
building,,house,ABC Housing ltd,649861.4856,6109886.163
building,,semidetached_house,ABC Housing ltd,650342.526,6110189.739
building,,residential,ABC Housing ltd,653150.3067,6114493.073
building,,house,ABC Housing ltd,646694.3296,6117675.71
building,,house,ABC Housing ltd,650300.9076,6110223.476
building,,semidetached_house,ABC Housing ltd,647561.9398,6110485.535
building,,semidetached_house,ABC Housing ltd,646046.2731,6116504.573
building,,house,ABC Housing ltd,649183.3534,6113473.779
building,,residential,ABC Housing ltd,657664.9783,6119463.505
building,,semidetached_house,ABC Housing ltd,648397.0018,6119314.84
building,,detached,ABC Housing ltd,649070.6239,6111449.279
building,,house,ABC Housing ltd,647753.9479,6110435.37
building,,house,ABC Housing ltd,646145.6001,6116475.795
building,,house,ABC Housing ltd,647123.4761,6113075.357
building,,residential,ABC Housing ltd,657662.6833,6119556.951
building,,semidetached_house,ABC Housing ltd,650203.1647,6110240.262
building,,semidetached_house,ABC Housing ltd,650234.7069,6110227.704
building,,house,ABC Housing ltd,650131.8142,6112224.282
building,,house,ABC Housing ltd,638002.5319,6115406.566
building,,semidetached_house,ABC Housing ltd,645864.571,6116497.798
building,,semidetached_house,ABC Housing ltd,647479.7843,6110340.837
building,,house,ABC Housing ltd,648530.8286,6119282.297
building,,house,ABC Housing ltd,648770.2954,6111499.711
building,,house,ABC Housing ltd,649686.817,6118802.865
building,,semidetached_house,ABC Housing ltd,647673.8627,6111493.023
building,,semidetached_house,ABC Housing ltd,645860.7362,6116504.301
building,,house,ABC Housing ltd,649929.1875,6112146.762
building,,house,ABC Housing ltd,650529.469,6109940.081
building,,semidetached_house,ABC Housing ltd,647454.6049,6110434.753
building,,house,ABC Housing ltd,650509.764,6109958.91
building,,house,ABC Housing ltd,650561.8996,6109936.353
building,,house,ABC Housing ltd,645768.1575,6116535.722
building,,house,ABC Housing ltd,649675.6699,6110104.362
building,,house,ABC Housing ltd,647259.7014,6112660.46
building,,semidetached_house,ABC Housing ltd,646028.6321,6118199.324
building,,house,ABC Housing ltd,649588.726,6110156.524
building,,residential,ABC Housing ltd,651812.9755,6108248.268
building,,house,ABC Housing ltd,648601.36,6119280.904
building,,house,ABC Housing ltd,647288.5223,6112321.462
building,,semidetached_house,ABC Housing ltd,649450.8744,6118556.54
building,,terrace,ABC Housing ltd,648831.0119,6114347.409
building,,house,ABC Housing ltd,647329.3825,6112360.084
building,,house,ABC Housing ltd,644962.6604,6116744.986
building,,semidetached_house,ABC Housing ltd,647644.1352,6111520.387
building,,semidetached_house,ABC Housing ltd,649374.0705,6113651.408
building,,house,ABC Housing ltd,645708.2875,6116466.214
building,,semidetached_house,ABC Housing ltd,649398.4925,6113659.705
building,,semidetached_house,ABC Housing ltd,650328.8371,6110163.611
building,,terrace,ABC Housing ltd,649237.27,6113725.134
building,,house,ABC Housing ltd,650271.5618,6110283.778
building,,semidetached_house,ABC Housing ltd,647591.6387,6111538.831
building,,semidetached_house,ABC Housing ltd,649475.8724,6113499.26
building,,house,ABC Housing ltd,646164.1049,6118412.722
building,,house,ABC Housing ltd,649638.0849,6118474.181
building,,terrace,ABC Housing ltd,646007.1017,6116657.93
building,,terrace,ABC Housing ltd,646007.0469,6116634.385
building,,house,ABC Housing ltd,646360.0056,6116541.647
building,,house,ABC Housing ltd,649588.695,6118415.78
building,,terrace,ABC Housing ltd,649207.5996,6113524.713
building,,house,ABC Housing ltd,646892.7247,6112845.875
building,,house,ABC Housing ltd,650106.9922,6112150.845
building,,semidetached_house,ABC Housing ltd,650220.2423,6110257.144
building,,house,ABC Housing ltd,650054.1737,6112195.114
building,,terrace,ABC Housing ltd,649236.0807,6113439.91
building,,house,ABC Housing ltd,650625.8015,6110126.698
building,,house,ABC Housing ltd,645218.5269,6116292.287
building,,detached,ABC Housing ltd,649255.9998,6111264.858
building,,house,ABC Housing ltd,647224.8672,6112557.971
building,,semidetached_house,ABC Housing ltd,647925.0615,6111363.681
building,,semidetached_house,ABC Housing ltd,649554.9069,6113360.638
building,,house,ABC Housing ltd,649377.1789,6118816.713
building,,house,ABC Housing ltd,649075.7142,6112642.022
building,,house,ABC Housing ltd,646304.8537,6116386.452
building,,semidetached_house,ABC Housing ltd,647006.2018,6112566.364
building,,house,ABC Housing ltd,647777.4615,6110001.969
building,,house,ABC Housing ltd,649737.622,6119227.717
building,,house,ABC Housing ltd,650340.1353,6119092.395
building,,house,ABC Housing ltd,647093.1998,6112584.838
building,,terrace,ABC Housing ltd,649269.678,6113525.879
building,,semidetached_house,ABC Housing ltd,646243.3254,6116323.062
building,,house,ABC Housing ltd,648751.0248,6114276.819
building,,house,ABC Housing ltd,646964.9865,6112612.909
building,,house,ABC Housing ltd,649333.3348,6118848.681
building,,semidetached_house,ABC Housing ltd,649189.1168,6119041.388
building,,terrace,ABC Housing ltd,647803.5763,6111454.641
building,,house,ABC Housing ltd,656285.9876,6121628.161
building,,terrace,ABC Housing ltd,649225.7596,6113593.533
building,,house,ABC Housing ltd,646994.7033,6112713.636
building,,house,ABC Housing ltd,645216.7514,6116907.2
building,,house,ABC Housing ltd,649424.5491,6118639.899
building,,semidetached_house,ABC Housing ltd,649179.2578,6119148.584
building,,house,ABC Housing ltd,646001.3751,6117813.343
building,,house,ABC Housing ltd,650404.1846,6110083.241
building,,house,ABC Housing ltd,647497.0552,6112201.936
building,,house,ABC Housing ltd,648724.09,6114213.007
building,,house,ABC Housing ltd,645262.8681,6116985.727
building,,house,ABC Housing ltd,648649.5094,6110293.074
building,,semidetached_house,ABC Housing ltd,649960.561,6110060.991
building,,semidetached_house,ABC Housing ltd,649982.063,6110047.88
building,,house,ABC Housing ltd,648609.5452,6110412.775
building,,house,ABC Housing ltd,648756.1594,6114348.831
building,,house,ABC Housing ltd,649227.2864,6119084.108
building,,house,ABC Housing ltd,650143.9838,6112720.334
building,,house,ABC Housing ltd,656280.2687,6121634.882
building,,house,ABC Housing ltd,650138.7168,6119059.738
building,,house,ABC Housing ltd,648720.8993,6114415.924
building,,house,ABC Housing ltd,659381.0123,6117950.027
building,,house,ABC Housing ltd,656262.4933,6121631.511
building,,house,ABC Housing ltd,650229.3253,6119008.123
building,,house,ABC Housing ltd,650171.4144,6112749.282
building,,house,ABC Housing ltd,648601.3297,6114369.765
building,,semidetached_house,ABC Housing ltd,645440.1442,6116954.66
building,,house,ABC Housing ltd,646742.7411,6117269.739
building,,semidetached_house,ABC Housing ltd,647983.0689,6110107.461
building,,house,ABC Housing ltd,648081.5572,6109932.538
building,,house,ABC Housing ltd,649568.8638,6118386.032
building,,house,ABC Housing ltd,650359.8872,6110200.356
building,,house,ABC Housing ltd,649965.0589,6118808.705
building,,semidetached_house,ABC Housing ltd,646789.9565,6117522.014
building,,house,ABC Housing ltd,650324.4801,6110301.82
building,,house,ABC Housing ltd,645446.9079,6116782.516
building,,semidetached_house,ABC Housing ltd,650402.1521,6110323.887
building,,house,ABC Housing ltd,647294.7741,6111749.208
building,,house,ABC Housing ltd,647296.3964,6112447.74
building,,terrace,ABC Housing ltd,647923.3432,6111123.123
building,,house,ABC Housing ltd,647252.4192,6112428.626
building,,semidetached_house,ABC Housing ltd,647448.766,6111812.35
building,,apartments,ABC Housing ltd,648513.538,6111396.012
building,,semidetached_house,ABC Housing ltd,656352.2728,6121725.288
building,,house,ABC Housing ltd,649504.0404,6118715.034
building,,semidetached_house,ABC Housing ltd,650124.5545,6112441.124
building,,house,ABC Housing ltd,645153.0605,6116451.969
building,,semidetached_house,ABC Housing ltd,649085.4783,6112947.456
building,,house,ABC Housing ltd,649786.5862,6119164.57
building,,terrace,ABC Housing ltd,649599.521,6119443.04
building,,house,ABC Housing ltd,645191.1519,6116424.652
building,,house,ABC Housing ltd,648399.5117,6110282.841
building,,house,ABC Housing ltd,645161.1313,6116510.382
building,,semidetached_house,ABC Housing ltd,647345.5241,6111768.5
building,,house,ABC Housing ltd,648452.575,6110211.321
building,,semidetached_house,ABC Housing ltd,649784.5955,6119128.64
building,,house,ABC Housing ltd,649638.0979,6119090.125
building,,semidetached_house,ABC Housing ltd,645161.2658,6116568.213
building,,house,ABC Housing ltd,648807.5099,6112698.718
building,,house,ABC Housing ltd,648672.3238,6111269.468
building,,semidetached_house,ABC Housing ltd,649092.4252,6112663.901
building,,house,ABC Housing ltd,645247.9807,6116614.699
building,,house,ABC Housing ltd,656625.6172,6121642.114
building,,house,ABC Housing ltd,661206.5077,6111768.287
building,,house,ABC Housing ltd,645270.9921,6116517.545
building,,house,ABC Housing ltd,648720.944,6114235.51
building,,terrace,ABC Housing ltd,645569.8932,6117271.624
building,,terrace,ABC Housing ltd,645572.5825,6117266.025
building,,house,ABC Housing ltd,661148.0174,6111759.832
building,,house,ABC Housing ltd,648627.6465,6114232.387
building,,house,ABC Housing ltd,648476.3299,6114353.27
building,,house,ABC Housing ltd,648743.6325,6114201.619
building,,semidetached_house,ABC Housing ltd,650073.4773,6112394.068
building,,detached,ABC Housing ltd,649118.2374,6110787.883
building,,semidetached_house,ABC Housing ltd,650191.5657,6112392.638
building,,house,ABC Housing ltd,645265.2381,6116650.628
building,,house,ABC Housing ltd,645475.7919,6115997.774
building,,house,ABC Housing ltd,647910.9967,6109876.276
building,,house,ABC Housing ltd,647331.5185,6112101.209
building,,house,ABC Housing ltd,648572.1251,6114306.832
building,,house,ABC Housing ltd,645447.2678,6116029.777
building,,house,ABC Housing ltd,645113.2715,6116998.419
building,,semidetached_house,ABC Housing ltd,645547.2267,6117416.224
building,,house,ABC Housing ltd,645489.6493,6115903.442
building,,house,ABC Housing ltd,645338.6392,6117120.066
building,,semidetached_house,ABC Housing ltd,645122.8731,6116594.741
building,,house,ABC Housing ltd,649988.5919,6118843.796
building,,terrace,ABC Housing ltd,648954.3392,6119113.78
building,,semidetached_house,ABC Housing ltd,646559.2519,6117680.214
building,,house,ABC Housing ltd,645250.3634,6117127.573
building,,terrace,ABC Housing ltd,647935.5391,6111053.08
building,,house,ABC Housing ltd,649684.8609,6118212.352
building,,house,ABC Housing ltd,650653.6829,6110350.086
building,,house,ABC Housing ltd,648134.0695,6110082
building,,house,ABC Housing ltd,648675.9787,6113756.318
building,,house,ABC Housing ltd,647460.1836,6111943.208
building,,house,ABC Housing ltd,647436.7179,6111929.818
building,,house,ABC Housing ltd,648672.4914,6113781.398
building,,semidetached_house,ABC Housing ltd,656434.6762,6121738.17
building,,terrace,ABC Housing ltd,649091.4977,6112995.829
building,,house,ABC Housing ltd,647885.1291,6110341.472
building,,house,ABC Housing ltd,647344.5376,6111899.317
building,,house,ABC Housing ltd,645073.2106,6116682.131
building,,house,ABC Housing ltd,647929.9259,6110323.874
building,,residential,ABC Housing ltd,649145.0941,6112427.396
building,,house,ABC Housing ltd,647370.0881,6112058.757
building,,terrace,ABC Housing ltd,647914.7691,6111081.435
building,,house,ABC Housing ltd,649176.46,6112695.384
building,,house,ABC Housing ltd,648936.7916,6119291.627
building,,house,ABC Housing ltd,647377.5307,6111975.475
building,,house,ABC Housing ltd,648787.4188,6113680.322
building,,terrace,ABC Housing ltd,649167.1398,6112871.8
building,,semidetached_house,ABC Housing ltd,647695.711,6110975.344
building,,house,ABC Housing ltd,647907.5001,6110248.007
building,,house,ABC Housing ltd,649171.7952,6112685.93
building,,house,ABC Housing ltd,649164.7994,6112671.751
building,,terrace,ABC Housing ltd,648681.5937,6113723.957
building,,terrace,ABC Housing ltd,648667.6358,6113709.636
building,,residential,ABC Housing ltd,649161.6752,6112265.137
building,,house,ABC Housing ltd,644987.7968,6117069.437
building,,house,ABC Housing ltd,649737.4114,6118498.549
building,,terrace,ABC Housing ltd,647730.545,6110936.335
building,,house,ABC Housing ltd,649230.7391,6118596.593
building,,house,ABC Housing ltd,649322.1456,6119247.008
building,,house,ABC Housing ltd,661263.0813,6111732.285
building,,terrace,ABC Housing ltd,647729.2141,6110954.715
building,,house,ABC Housing ltd,645606.496,6117340.789
building,,semidetached_house,ABC Housing ltd,645349.268,6116280.886
building,,semidetached_house,ABC Housing ltd,646770.0527,6118366.231
building,,house,ABC Housing ltd,656628.3127,6121807.645
building,,terrace,ABC Housing ltd,647759.8383,6110912.114
building,,residential,ABC Housing ltd,649170.261,6112185.583
building,,terrace,ABC Housing ltd,649903.6545,6119297.324
building,,house,ABC Housing ltd,647670.0575,6111748.842
building,,semidetached_house,ABC Housing ltd,645392.0974,6117545.817
building,,house,ABC Housing ltd,650395.2634,6110500.203
