fid,ORGANISATI,SUB_BUILDI,BUILDING_N,BUILDING_1,PRIMARY_TH,ALT_THORFA,SECONDARY_,LOCALITY,TOWNLAND,TOWN,COUNTY,POSTCODE,BLPU,UNIQUE_BUI,UPRN,USRN,LOCAL_COUN,X_COR,Y_COR,TEMP_COORD,BUILDING_S,ADDRESS_ST,CLASSIFICA,CREATION_D,COMMENCEME,ARCHIVED_D,ACTION_,UDPRN,POSTTOWN,xlong,ylat
"280",,,,"26",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LZ,,"186116494","185537569","7859",COLERAINE,"284156","432537",N,BUILT,APPROVED,DO_TERRACE,,,,,"3623628",COLERAINE,647816.863058635,6112035.102597
"281",,,,"6",HAZELBANK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DU,,"186116679","185535842","14836",COLERAINE,"284202","432415",N,BUILT,APPROVED,DO_TERRACE,,,,,"3621818",COLERAINE,647864.593138305,6111913.80460749
"282",,,,"58",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LZ,,"186116322","185537585","7859",COLERAINE,"284116","432616",N,BUILT,APPROVED,DO_TERRACE,,,,,"3623645",COLERAINE,647775.746393454,6112113.50179938
"283",,,,"32",CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186116964","185535800","7860",COLERAINE,"284270","432435",N,BUILT,APPROVED,DO_TERRACE,,,,,,COLERAINE,647932.282592447,6111934.77092132
"284",MULLANS NEWSAGENT,,,"6",CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186117284","185535815","7860",COLERAINE,"284397","432421",N,BUILT,APPROVED,ND_RETAIL,,,,,,COLERAINE,648059.437756788,6111922.5939599
"285",RAFFERTY & BOYLE SOLICITORS,,,"3",CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HP,,"186117345","185536748","7204",COLERAINE,"284418","432464",N,BUILT,APPROVED,ND_OFFICE,,,,,"3622824",COLERAINE,648079.814715379,6111965.879266
"286",,,,"7",OLD MODEL COURT,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3AR,,"186983056","185534962","610",COLERAINE,"284046","432751",N,BUILT,APPROVED,DO_APART,,,,,"3620950",COLERAINE,647703.838739549,6112247.45153854
"287",,,,"22",OLD MODEL COURT,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3AR,,"186850374","185534975","610",COLERAINE,"284058","432730",Y,UNDER CONSTRUCTION,PROVISIONAL,DO_APART,,,,,"3620945",COLERAINE,647716.13509059,6112226.63082091
"288",,,,11A,CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HP,,"186116754","185536753","7204",COLERAINE,"284224","432723",N,BUILT,APPROVED,DO_DETACHED,,,,,"3622828",COLERAINE,647882.176101145,6112222.00974137
"289",,,,"9",OLD MODEL COURT,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3AR,,"186983062","185534964","610",COLERAINE,"284047","432740",N,BUILT,APPROVED,DO_APART,,,,,"3620952",COLERAINE,647704.995856888,6112236.46977911
"290",,,,"20",CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186117044","185535789","7860",COLERAINE,"284303","432434",N,BUILT,APPROVED,DO_TERRACE,,,,,,COLERAINE,647965.285147334,6111934.24368464
"291",,FLAT 7,BREEZEMOUNT HOUSE,"26",CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HP,,"186116336","185978746","7204",COLERAINE,"284120","432689",N,BUILT,APPROVED,DO_OTHER,,,,,,COLERAINE,647778.699921553,6112186.53302479
"292",,"3",,11C,WATERSIDE STREET,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DP,,"187055803","185986605","35792",COLERAINE,"284472","432432",Y,UNDER CONSTRUCTION,PROVISIONAL,ND_OFFICE,,,,,,COLERAINE,648134.253576879,6111934.66369409
"293",,,,"19",OLD MODEL COURT,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3AR,,"186983071","185534973","610",COLERAINE,"284069","432707",N,BUILT,APPROVED,DO_APART,,,,,"3620942",COLERAINE,647727.460429485,6112203.7965002
"294",,,,"3",OLD MODEL COURT,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3AR,,"186116156","185534958","610",COLERAINE,"284078","432738",N,BUILT,APPROVED,DO_TERRACE,,,,,"3620946",COLERAINE,647736.013429259,6112234.91428309
"295",,APARTMENT 10,,1-3,CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"187380586","187380607","7860",COLERAINE,"284328","432458",Y,UNDER CONSTRUCTION,PROVISIONAL,,04-Feb-11,04-Feb-11,,,,COLERAINE,647989.93266986,6111958.59301674
"296",,APARTMENT 6,,1-3,CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"187380586","187380603","7860",COLERAINE,"284328","432458",Y,UNDER CONSTRUCTION,PROVISIONAL,,04-Feb-11,04-Feb-11,,,,COLERAINE,647989.93266986,6111958.59301674
"297",,,,"42",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LZ,,"186116419","185537577","7859",COLERAINE,"284138","432574",N,BUILT,APPROVED,DO_TERRACE,,,,,"3623637",COLERAINE,647798.339802572,6112071.83172221
