building,nan,semidetached_house,ABC Housing ltd,644930.5846,6116329.196,POINT (644930.5845999999 6116329.196),3,0
building,nan,house,ABC Housing ltd,649313.7086,6110434.217,POINT (649313.7086 6110434.217),3,0
building,nan,house,ABC Housing ltd,647587.8875,6112884.248,POINT (647587.8875 6112884.248),3,0
building,nan,house,ABC Housing ltd,647350.5829,6110675.828,POINT (647350.5829 6110675.828),3,0
building,nan,house,ABC Housing ltd,647301.7828,6110731.309,POINT (647301.7828 6110731.309),3,0
building,nan,terrace,ABC Housing ltd,649165.0661,6113254.02,POINT (649165.0661000001 6113254.02),3,0
building,nan,house,ABC Housing ltd,645530.3004,6117021.199,POINT (645530.3003999999 6117021.199),3,0
building,nan,house,ABC Housing ltd,649349.5132,6110298.209,POINT (649349.5132 6110298.209),3,0
building,nan,house,ABC Housing ltd,646210.5423,6116180.542,POINT (646210.5423 6116180.542),3,0
building,nan,house,ABC Housing ltd,647672.6695,6112925.281,POINT (647672.6695 6112925.281),3,0
building,nan,semidetached_house,ABC Housing ltd,649411.8064,6119053.82,POINT (649411.8064 6119053.82),3,0
building,nan,terrace,ABC Housing ltd,649149.1017,6113268.048,POINT (649149.1017 6113268.048),3,0
building,nan,terrace,ABC Housing ltd,649143.7175,6113271.468,POINT (649143.7175 6113271.468),3,0
building,nan,semidetached_house,ABC Housing ltd,648720.6226,6119029.031,POINT (648720.6226 6119029.031),3,0
building,nan,house,ABC Housing ltd,645752.8284,6116616.55,POINT (645752.8284 6116616.55),3,0
building,nan,house,ABC Housing ltd,647519.9821,6113017.558,POINT (647519.9821 6113017.558),3,0
building,nan,terrace,ABC Housing ltd,649166.483,6113299.58,POINT (649166.483 6113299.58),3,0
building,nan,house,ABC Housing ltd,649247.457,6110404.802,POINT (649247.4570000001 6110404.802),3,0
building,nan,terrace,ABC Housing ltd,649878.335,6112506.701,POINT (649878.335 6112506.701),3,0
building,nan,semidetached_house,ABC Housing ltd,649526.4612,6118984.153,POINT (649526.4612 6118984.153),3,0
building,nan,semidetached_house,ABC Housing ltd,649539.2443,6118947.944,POINT (649539.2443 6118947.944),3,0
building,nan,terrace,ABC Housing ltd,645566.9438,6116999.283,POINT (645566.9438 6116999.283),3,0
building,nan,semidetached_house,ABC Housing ltd,647547.4015,6112776.009,POINT (647547.4015 6112776.009),3,0
building,nan,house,ABC Housing ltd,647625.6216,6110706.087,POINT (647625.6216 6110706.087),3,0
building,nan,house,ABC Housing ltd,649573.7323,6113516.958,POINT (649573.7323 6113516.958),3,0
building,nan,semidetached_house,ABC Housing ltd,646445.9296,6116035.296,POINT (646445.9296 6116035.296),3,0
building,nan,house,ABC Housing ltd,649922.4471,6112446.806,POINT (649922.4471 6112446.806),3,0
building,nan,house,ABC Housing ltd,649921.5883,6112458.234,POINT (649921.5882999999 6112458.234),3,0
building,nan,house,ABC Housing ltd,649509.6105,6119077.096,POINT (649509.6105 6119077.096),3,0
building,nan,house,ABC Housing ltd,649702.1902,6118712.907,POINT (649702.1902 6118712.907),3,0
